ID,countryCode,year,sex,agefrom,ageto,percentage_no_schooling,percentage_primary_schooling,percentage_primary_schooling_completed,percentage_secondary_schooling,percentage_secondary_schooling_completed,percentage_tertiary_schooling,percentage_tertiary_schooling_completed,yr_sch,region_code,literate_pop,target
ID_00LSS9Z,143,1995,MF,25,999,12.37,57.41416666666667,56.71583333333333,24.284166666666668,6.334166666666668,5.934166666666667,4.020833333333333,8.577499999999999,Latin America and the Caribbean,140.0,87.5
ID_00LYF8Z,121,1995,F,25,999,1.7,19.66,17.26,62.22,33.13,16.42,9.92,10.2,Advanced Economies,5333.0,98.28603022484334
ID_00LZO2X,153,1985,MF,25,999,4.980833333333333,39.885000000000005,2.4491666666666667,50.14583333333332,23.95833333333333,4.989166666666667,3.3574999999999995,7.953333333333333,Europe and Central Asia,26060.0,95.01932472835996
ID_00MAE3X,81,1960,F,25,999,92.9,6.4,0.6,0.6,0.1,0.0,0.0,0.23,South Asia,657.0,6.994570424784414
ID_00MDA3G,69,1985,M,25,999,27.01,57.02,20.19,9.94,4.14,6.03,4.26,3.61,Latin America and the Caribbean,20767.0,72.98959651342612
ID_00MMZ3A,98,1975,MF,25,999,16.15833333333333,58.10833333333334,20.491666666666664,15.258333333333338,9.070833333333336,10.458333333333332,6.629166666666666,4.299166666666666,East Asia and the Pacific,24798.0,83.822336398053
ID_00MOX5R,310,1980,MF,15,999,50.21,40.8,12.06,8.74,1.33,0.25,0.13,2.54,East Asia and the Pacific,1967.0,49.772267206477736
ID_00MYJ8B,56,1950,M,25,999,63.01,33.84,5.84,2.42,1.52,0.78,0.67,1.55,Latin America and the Caribbean,206.0,36.91756272401434
ID_00NFI0H,116,1990,MF,15,999,1.34,49.47,37.55,36.93,21.63,12.26,6.94,8.78,Advanced Economies,189.0,98.4375
ID_00NGX0Q,312,1955,MF,15,999,34.99,50.89,17.86,11.05,5.39,3.06,1.67,2.91,Europe and Central Asia,3550.0,64.99450750640791
ID_00NKN6U,154,1950,M,15,999,13.04,53.55,19.04,28.99,12.34,4.41,2.73,4.44,Europe and Central Asia,25355.0,86.9483213881554
ID_00NSF3A,58,1950,MF,25,999,63.11,33.22,6.94,3.09,2.29,0.59,0.39,1.61,Latin America and the Caribbean,179.0,36.75564681724846
ID_00NVX8R,26,1975,F,15,999,94.28,5.26,1.07,0.35,0.14,0.09,0.04,0.23,Sub-Saharan Africa,97.0,5.692488262910798
ID_00OBX9O,25,2000,M,25,999,29.14,57.65,17.61,12.45,8.11,0.75,0.59,4.19,Sub-Saharan Africa,1314.0,70.79741379310344
ID_00ODY3O,102,2000,M,25,999,8.31,65.46,16.56,18.42,5.93,7.8,5.33,5.4,Middle East and North Africa,2790.0,91.65571616294348
ID_00OFC3X,94,1965,MF,15,999,30.44333333333334,47.4,21.67333333333333,20.2,6.580000000000001,1.9566666666666668,0.44,4.453333333333334,East Asia and the Pacific,4704.0,69.54464813719693
ID_00OHO6D,50,1950,M,15,999,2.22,53.44,26.14,35.4,13.67,8.92,5.54,7.34,Advanced Economies,4782.0,97.75143090760425
ID_00OIV1K,190,1960,F,25,999,0.2,80.8,50.29,17.07,5.26,1.93,1.0,7.35,Advanced Economies,25710.0,99.79815231736666
ID_00OSF9U,54,1955,MF,25,999,63.61,32.14,5.32,3.77,1.64,0.48,0.27,1.56,Latin America and the Caribbean,297.0,36.35250917992656
ID_00PGL3L,136,1985,F,15,999,8.32,32.22,23.68,57.77,7.62,1.69,0.86,7.75,East Asia and the Pacific,23.0,88.46153846153847
ID_00PIF6N,47,1955,M,15,999,46.79,45.02,10.64,6.76,2.93,1.43,0.82,2.26,Sub-Saharan Africa,473.0,53.2058492688414
ID_00PIX4H,53,1960,MF,25,999,43.4,53.1,13.8,2.7,0.54,0.8,0.4,2.41,Latin America and the Caribbean,642.0,56.514084507042256
ID_00PLS7M,79,1995,M,15,999,58.22,23.11,9.46,8.85,3.51,9.81,5.61,3.62,South Asia,2393.0,41.76994239832432
ID_00POV5N,17,1985,M,25,999,46.85,6.33,3.02,44.2,12.69,2.63,1.77,5.45,Sub-Saharan Africa,1278.0,53.13929313929314
ID_00PTY3F,30,2005,F,25,999,85.11,13.59,8.17,1.1,0.61,0.2,0.13,0.67,Sub-Saharan Africa,575.0,14.88095238095238
ID_00QBP9X,83,1975,MF,15,999,20.25,38.50666666666667,22.92,40.52333333333333,9.613333333333337,0.7166666666666667,0.2866666666666667,5.886666666666667,East Asia and the Pacific,589285.0,79.74658534373913
ID_00QFD8K,66,1995,MF,15,999,0.37,1.8233333333333333,1.2933333333333332,61.0,37.05,36.8,11.546666666666669,12.076666666666668,Advanced Economies,246005.0,99.6229792334856
ID_00QFZ1I,118,2000,F,15,999,9.0,27.1,25.2,55.8,27.6,8.1,4.59,8.46,Advanced Economies,23385.0,90.99929955638572
ID_00QIN9R,105,1970,MF,15,999,69.28333333333335,11.263333333333334,5.760000000000001,15.53,9.89,3.9266666666666654,1.7666666666666666,2.786666666666666,Middle East and North Africa,58.0,30.20833333333333
ID_00QZF5H,329,1955,MF,25,999,38.05166666666667,52.7775,23.936666666666667,8.306666666666665,3.015,0.8633333333333333,0.5799999999999998,4.0925,Europe and Central Asia,4983.0,61.946792640477376
ID_00RRD2O,58,1960,MF,15,999,52.11333333333334,41.7,8.866666666666667,5.986666666666667,3.33,0.2866666666666667,0.1266666666666666,2.15,Latin America and the Caribbean,656.0,47.918188458729
ID_00RRI8C,90,1975,MF,25,999,0.46,51.67,35.91,37.06,17.29,10.81,6.18,7.9,Advanced Economies,66943.0,99.53905401989502
ID_00RYM7I,67,1975,MF,15,999,5.89,65.85,32.7,21.68,11.95,6.58,3.64,6.85,Latin America and the Caribbean,17351.0,94.10967077073276
ID_00SCO1L,126,1960,M,15,999,0.89,64.12,39.02,28.19,20.84,6.77,4.97,7.62,Advanced Economies,2860.0,99.06477312088673
ID_00SDI7U,93,1995,MF,25,999,46.37,6.51,1.44,33.94,19.81,13.18,8.71,5.69,Middle East and North Africa,499.0,53.54077253218884
ID_00SJL2Q,50,1980,MF,25,999,2.6166666666666667,28.38333333333333,11.283333333333331,48.42916666666667,18.84,20.570833333333336,12.870833333333332,9.2525,Advanced Economies,27460.0,97.38279310589404
ID_00SKC2F,6,1970,M,25,999,82.84,15.83,6.48,1.17,0.52,0.17,0.11,0.94,Sub-Saharan Africa,97.0,17.017543859649123
ID_00SNG1U,154,1975,M,25,999,6.89,32.55,13.67,47.46,28.46,13.09,7.15,6.81,Europe and Central Asia,30486.0,93.09839369694008
ID_00SNP2E,112,1950,MF,25,999,0.3708333333333333,89.46250000000002,36.469166666666666,8.565,2.3041666666666667,1.5799999999999998,0.9958333333333332,4.230833333333333,Advanced Economies,51748.0,99.60732984293192
ID_00SNZ5F,136,1975,MF,25,999,11.760833333333332,45.359166666666674,28.745000000000005,40.69166666666666,3.791666666666666,2.188333333333333,1.4125000000000003,6.702500000000001,East Asia and the Pacific,53.0,87.53096614368292
ID_00SPB0P,131,1995,M,15,999,1.18,10.25,6.93,61.63,52.64,26.94,15.98,11.31,Advanced Economies,6772.0,98.81803589668758
ID_00STK4K,92,1960,F,15,999,54.74,35.17,29.71,9.42,4.25,0.66,0.32,2.96,East Asia and the Pacific,3400.0,45.24886877828055
ID_00SWR7P,54,2000,M,25,999,22.9,45.33,17.32,21.42,10.06,10.35,8.37,6.23,Latin America and the Caribbean,979.0,77.08661417322834
ID_00SYU8D,22,1990,MF,25,999,26.758333333333336,63.72083333333334,8.18,8.985,8.461666666666666,0.5375,0.355,4.121666666666666,Sub-Saharan Africa,827.0,73.1858407079646
ID_00TAU4C,154,1955,MF,15,999,8.673333333333334,38.836666666666666,14.956666666666669,49.086666666666666,13.089999999999998,3.4133333333333327,1.2166666666666666,5.34,Europe and Central Asia,94738.0,91.33662411785122
ID_00TCQ6V,124,2005,MF,25,999,15.929166666666667,50.853333333333325,43.14166666666666,22.70833333333333,10.602499999999996,10.510833333333334,3.401666666666668,6.3525,Advanced Economies,12673.0,84.07191190128698
ID_00TFR1Z,112,1980,F,15,999,0.95,71.95,30.99,20.0,8.8,7.1,2.6,5.68,Advanced Economies,21481.0,99.04555514570268
ID_00THR2U,57,1975,MF,15,999,65.98666666666666,23.860000000000003,3.0033333333333334,9.703333333333331,4.986666666666667,0.45,0.2433333333333333,1.95,Latin America and the Caribbean,1304.0,33.99374348279458
ID_00TLC9M,68,1965,MF,25,999,65.25999999999999,20.41666666666666,5.071666666666667,11.7475,4.539166666666667,2.5750000000000006,1.6216666666666668,2.3508333333333336,Latin America and the Caribbean,1006.0,34.7135955831608
ID_00TLH9J,124,1965,MF,25,999,48.67166666666666,45.41916666666666,23.928333333333327,4.623333333333332,2.700833333333333,1.284166666666667,0.6683333333333333,2.039166666666667,Advanced Economies,5045.0,51.32248219735504
ID_00TTZ2M,109,1980,M,25,999,5.34,55.06,34.88,30.29,22.18,9.31,7.85,7.55,Middle East and North Africa,160.0,94.11764705882354
ID_00UBS5F,156,1950,M,15,999,35.27,53.62,41.16,10.17,3.06,0.94,0.45,3.09,Europe and Central Asia,240.0,64.51612903225806
ID_00UJC7Q,21,1950,MF,25,999,83.72,14.46,5.15,1.53,0.23,0.29,0.2,0.91,Sub-Saharan Africa,408.0,16.254980079681275
ID_00UNX5X,315,1980,MF,15,999,33.21,33.14333333333334,13.093333333333334,32.74333333333333,25.346666666666668,0.9033333333333332,0.15,4.656666666666666,South Asia,80.0,66.66666666666667
ID_00UZC1Y,119,1985,MF,15,999,7.27,41.21,32.82,43.370000000000005,19.680000000000003,8.146666666666667,3.8166666666666655,8.206666666666667,Advanced Economies,332.0,92.47910863509748
ID_00UZU7Y,84,1955,M,15,999,15.45,54.98,23.61,23.57,12.1,6.0,4.53,6.18,East Asia and the Pacific,690.0,84.45532435740515
ID_00VDF1B,93,1950,MF,15,999,57.083333333333336,34.33,11.93,6.056666666666668,3.4,2.526666666666667,1.133333333333333,1.92,Middle East and North Africa,56.0,42.42424242424242
ID_00VOX1M,67,1990,M,25,999,5.23,56.29,34.56,26.26,14.71,12.27,5.39,7.92,Latin America and the Caribbean,7828.0,94.81589147286822
ID_00VSD5E,80,1990,MF,15,999,32.16,14.23,6.37,40.74,25.52,12.86,8.53,6.54,Middle East and North Africa,228.0,67.65578635014836
ID_00WDH5Y,116,2005,M,15,999,1.71,36.13,28.01,37.93,23.37,24.23,14.13,10.19,Advanced Economies,112.0,98.24561403508773
ID_00WET3D,79,2005,F,15,999,84.43,7.28,0.65,5.9,3.08,2.4,1.28,1.27,South Asia,1204.0,15.571650284531817
ID_00WPT0L,21,1980,MF,15,999,46.0,41.63,14.52,11.01,0.96,1.32,0.65,3.41,Sub-Saharan Africa,4399.0,53.95559916595119
ID_00WVN6B,125,2005,MF,25,999,2.3266666666666667,34.35666666666666,23.90083333333333,41.20416666666666,18.17083333333333,22.10833333333333,14.548333333333332,10.196666666666667,Advanced Economies,61980.0,97.66782225023636
ID_00XEU8C,322,1950,MF,25,999,37.08583333333333,50.75666666666667,45.15083333333334,10.030000000000005,3.6183333333333336,2.1283333333333334,1.4425,5.239166666666667,Europe and Central Asia,2646.0,62.91012838801712
ID_00XFY1L,322,1980,M,25,999,8.94,44.54,39.5,39.25,27.1,7.28,4.79,8.94,Europe and Central Asia,1190.0,91.04820198928844
ID_00XGU0F,155,2005,MF,25,999,15.31,18.069166666666664,10.261666666666663,58.35083333333333,29.774999999999995,8.268333333333333,6.314166666666665,8.5075,Latin America and the Caribbean,12754.0,84.68791500664011
ID_00XVJ6F,60,1950,MF,25,999,46.14416666666668,48.45000000000001,10.365833333333333,4.076666666666667,1.4216666666666669,1.3275,1.0658333333333332,2.155,Latin America and the Caribbean,11942.0,53.8510101010101
ID_00YES4H,132,1990,MF,15,999,6.55,31.12,17.04,55.72,28.48,6.61,3.65,9.07,East Asia and the Pacific,420.0,93.33333333333331
ID_00YGN6S,310,1985,M,25,999,26.38,60.93,27.16,12.15,3.41,0.55,0.36,4.05,East Asia and the Pacific,933.0,73.58044164037855
ID_00YKK0S,29,1950,MF,15,999,96.36,1.44,0.57,1.97,0.74,0.24,0.02,0.28,Middle East and North Africa,181.0,3.6338084721943376
ID_00YMR5R,87,1970,MF,25,999,88.64083333333333,6.8125,4.085,3.67,1.9983333333333333,0.8766666666666668,0.7341666666666667,0.855833333333333,Middle East and North Africa,2364.0,11.356648731744812
ID_00ZAN4M,69,1980,M,25,999,30.35,57.27,5.2,6.59,2.6,5.81,4.15,3.01,Latin America and the Caribbean,17129.0,69.66973074107216
ID_00ZBK7R,131,1960,F,25,999,1.05,43.19,24.26,46.07,22.1,9.69,5.09,7.97,Advanced Economies,2842.0,98.9209885137487
ID_00ZDQ8U,121,1995,MF,25,999,1.61,16.21,14.03,62.3,35.81,19.87,12.9,10.63,Advanced Economies,10407.0,98.37413744210228
ID_00ZEI5V,315,1985,MF,15,999,33.42,31.77,12.06,33.95,29.88,0.86,0.23,4.82,South Asia,67.0,66.33663366336634
ID_00ZIU3C,46,1950,M,15,999,49.69,49.37,5.76,0.64,0.26,0.3,0.17,2.32,Sub-Saharan Africa,330.0,50.22831050228311
ID_00ZKB8C,77,1980,M,25,999,7.18,63.24,28.04,23.14,10.01,6.45,3.23,6.09,Latin America and the Caribbean,737.0,92.70440251572327
ID_00ZSH2S,88,1950,MF,25,999,98.17,0.46,0.14,0.78,0.3,0.6,0.4,0.18,Middle East and North Africa,40.0,1.823985408116735
ID_00ZYB2O,140,1985,MF,15,999,41.2,33.48,17.19,22.85,12.21,2.45,1.31,4.31,Middle East and North Africa,1192.0,58.74815179891572
ID_00ZYT8N,40,2005,M,15,999,37.95,35.41,9.81,24.76,4.77,1.88,0.87,4.44,Sub-Saharan Africa,177.0,61.88811188811189
ID_00ZZD1U,114,1960,MF,25,999,20.88833333333333,35.47833333333333,14.894166666666663,41.333333333333336,26.32916666666667,2.2999999999999994,2.2183333333333337,6.387499999999998,Advanced Economies,7529.0,79.10275267913427
ID_00ZZE6V,80,1990,F,15,999,36.02,10.58,4.35,40.03,25.54,13.36,8.44,6.39,Middle East and North Africa,82.0,63.565891472868216
ID_01AAR0H,15,2000,M,25,999,38.21,32.29,18.23,22.73,12.73,6.77,4.38,5.27,Sub-Saharan Africa,148.0,61.66666666666666
ID_01AAR3M,20,1970,MF,15,999,81.67,11.47,4.82,5.84,1.61,1.04,0.55,1.29,Sub-Saharan Africa,539.0,18.32087015635622
ID_01AFT5Z,77,1995,MF,15,999,2.42,37.23,22.536666666666665,51.53666666666667,16.21666666666667,8.813333333333333,2.7266666666666666,8.206666666666667,Latin America and the Caribbean,2874.0,97.55600814663951
ID_01AJX9W,95,1975,MF,15,999,83.58333333333333,7.446666666666668,3.036666666666666,7.943333333333334,1.086666666666667,1.0266666666666666,0.41,1.0733333333333333,South Asia,1729.0,16.408845022302362
ID_01ALT0Y,78,1975,M,25,999,32.6,44.75,9.78,17.04,6.54,5.61,2.98,3.54,Latin America and the Caribbean,1573.0,67.39502999143102
ID_01AMZ3D,43,1965,M,25,999,82.34,11.7,4.46,4.73,2.96,1.2,0.83,1.22,Middle East and North Africa,160.0,17.524644030668128
ID_01ANS7H,91,1985,MF,15,999,25.75,16.75,14.536666666666669,45.88,20.87666666666667,11.616666666666667,2.876666666666667,7.38,Middle East and North Africa,1478.0,74.2340532395781
ID_01AYX4C,128,1950,F,15,999,88.14,9.25,5.67,2.28,1.06,0.31,0.13,0.63,Advanced Economies,779.0,11.828120255086548
ID_01BNZ6I,110,1955,M,15,999,2.72,70.72,43.13,20.79,7.85,5.78,5.46,5.04,Advanced Economies,1557.0,97.25171767645222
ID_01BOA3K,103,2000,MF,25,999,6.15,25.35,19.75,47.24,27.53,21.26,8.02,8.95,East Asia and the Pacific,12854.0,93.84536759874425
ID_01BOR7E,124,1980,F,15,999,25.38,56.58,39.88,15.42,8.58,2.66,0.72,4.27,Advanced Economies,2852.0,74.64014655849255
ID_01BVC4N,331,2005,M,15,999,0.91,3.63,3.16,80.21,61.03,15.25,10.15,11.67,Europe and Central Asia,812.0,99.02439024390245
ID_01BWL3U,123,1975,M,25,999,2.27,58.96,42.99,31.98,30.94,6.79,5.17,8.05,Europe and Central Asia,8674.0,97.7242000901307
ID_01CJF4P,54,1970,MF,15,999,34.79666666666667,50.89333333333333,16.30666666666667,12.373333333333337,4.013333333333334,1.8866666666666667,1.32,3.483333333333333,Latin America and the Caribbean,1703.0,65.14919663351186
ID_01CNJ3I,312,1970,M,15,999,14.26,50.63,22.16,26.2,21.03,8.91,5.21,5.5,Europe and Central Asia,3269.0,85.73301862050879
ID_01CUU4D,104,1950,MF,15,999,29.73333333333333,60.96666666666667,50.38,8.513333333333334,1.843333333333333,0.7866666666666666,0.2266666666666666,2.9766666666666666,East Asia and the Pacific,10755.0,70.26197164695891
ID_01CYZ1K,86,1950,M,25,999,72.51,25.85,9.46,1.57,0.16,0.07,0.04,1.22,East Asia and the Pacific,4488.0,27.484842917508725
ID_01CYZ3J,322,1995,M,15,999,3.42,32.24,28.49,56.11,40.79,8.23,5.6,9.78,Europe and Central Asia,1745.0,96.56889872717213
ID_01CZO6R,57,1950,F,25,999,93.0,5.2,2.1,1.8,0.5,0.0,0.0,0.4,Latin America and the Caribbean,55.0,6.962025316455696
ID_01DEZ6R,83,1955,MF,25,999,78.19,17.11,3.35,4.3,0.96,0.4,0.27,1.09,East Asia and the Pacific,60661.0,21.80999086771125
ID_01DIK0V,78,1970,MF,25,999,54.725,35.18333333333333,6.935000000000001,8.183333333333332,3.351666666666667,1.9833333333333336,1.0558333333333332,1.923333333333333,Latin America and the Caribbean,3423.0,45.33774834437086
ID_01ENQ8R,109,1985,MF,15,999,3.1666666666666665,22.01666666666667,17.580000000000002,61.00333333333333,29.78333333333333,13.813333333333334,8.87,9.683333333333332,Middle East and North Africa,579.0,96.82274247491638
ID_01EOD0G,329,1980,F,25,999,23.3,56.1,26.1,15.8,6.0,4.8,2.93,5.72,Europe and Central Asia,2281.0,76.69804976462676
ID_01EVX6G,142,1955,MF,15,999,55.056666666666665,31.69333333333333,9.03,4.26,1.49,8.99,3.466666666666667,2.776666666666667,Sub-Saharan Africa,96.0,44.65116279069768
ID_01EXI4P,126,1960,M,25,999,0.58,69.17,41.15,23.03,19.97,7.2,5.64,7.39,Advanced Economies,2334.0,99.36143039591316
ID_01FGO0Z,112,1985,F,15,999,5.44,55.45,29.75,30.14,15.14,8.97,3.69,6.63,Advanced Economies,21385.0,94.5569508312699
ID_01FNB7J,65,1985,M,15,999,1.92,58.47,45.0,36.28,6.8,3.32,2.44,8.0,Latin America and the Caribbean,381.0,97.94344473007712
ID_01FQV7V,51,2005,M,15,999,3.14,42.11,29.46,40.19,18.93,14.56,13.26,8.3,Latin America and the Caribbean,1519.0,96.81325685149775
ID_01FYA9G,92,1970,MF,15,999,9.503333333333332,40.54333333333333,39.21666666666666,43.82333333333333,20.6,6.126666666666668,1.6166666666666665,7.793333333333333,East Asia and the Pacific,21882.0,90.49253546172616
ID_01GII7K,36,1980,F,15,999,89.54,6.85,4.07,3.46,1.2,0.15,0.09,0.85,Sub-Saharan Africa,103.0,10.404040404040405
